Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Predicted Rating
69 Reality in Us,1997.0,134.0,"Drama, Romance, Thriller",,,Samir Khan,Unknown,Unknown,Unknown,6.010999999999997
777 Charlie,1997.0,136.0,"Adventure, Comedy, Drama",,,Kiranraj K,Rakshit Shetty,Charlie,Sangeetha Sringeri,4.837999999999999
7th Villa,2018.0,125.0,Horror,,,Ajay Arak,Meenal Chauhan,Mansi Sharma,Vinit,4.408999999999999
8 PM: A Murder Mystery,2008.0,134.0,Mystery,,,Sunil Bhojwani,Krishna Abhishek,Ramesh Bachwani,Dravika,4.012399483849484
'83,2021.0,150.0,"Biography, Drama, History",,,Kabir Khan,Ranveer Singh,Deepika Padukone,Tahir Raj Bhasin,6.799833333333342
9 Roads 2 Peace,1997.0,134.0,Adventure,,,Virendra Rathore,Unknown,Unknown,Unknown,6.010999999999997
9 to 12,2011.0,115.0,"Drama, Musical, Thriller",,,Ashok Patil,Nimisha Baby,Venkatesh Chakravarthy,Kishore Kumar G.,4.904999999999999
A Ballad of Maladies,2016.0,86.0,"Documentary, Music",,,Sarvnik Kaur,Tushar Madhav,Unknown,Unknown,6.4179999999999975
A Ballad of Maladies,2016.0,86.0,"Documentary, History, Music",,,Sarvnik Kaur,Tushar Madhav,Unknown,Unknown,6.4179999999999975
A Biopic from the Film Industry,2019.0,134.0,Drama,,,Sarkar Sahith,Suman Rana,Hari Vishnu,Unknown,4.986912518037519
A Call from the Past,2016.0,76.0,"Drama, Fantasy, Mystery",,,Ajay Jain,Vidhu Rashmi Jain,Ashok Banthia,Bharat Ratna Bhargava,4.782666666666666
A Cold Plan,2021.0,134.0,Thriller,,,Sanjay Raj,Ansh Chaturvedi,Jigyasa Tiwari,Anurag Bhardwaj,4.052666666666666
A Daughter's Dream,2014.0,134.0,"Drama, Family, Sport",,,Manto Pashupatinath,Bhavana Singh Chauhan,Akhilendra Mishra,Abhilash Narain,3.5762500000000013
A Dream Document,2016.0,70.0,Documentary,,,Rupak Das,Unknown,Unknown,Unknown,6.942000000000003
A Handful of Grain,1959.0,92.0,Drama,,,Mehboob Khan,Unknown,Unknown,Unknown,7.139000000000001
A Mistake (Ek Galti),2021.0,134.0,Thriller,,,Chand Mehta,Hrishitaa Bhatt,Gulshan Pandey,Jimmy Shergil,3.8256666666666654
A Night in Calcutta,1970.0,134.0,Drama,,,Amrit Mahendra,Master Bhagwan,Simi Garewal,Jagdev,5.375076190476185
A Rape Song,2019.0,75.0,"Crime, Drama",,,Jacob Paul,Uday Bhan Mourya,Anjali Ujawane,Unknown,5.336666666666665
A Separate Sky,2021.0,134.0,Drama,,,Raajhorshee De,Sayan Chakraborty,Sudiptaa Chakraborty,Ranita Das,5.520940476190479
A Sketch Killer: Who's Next,1997.0,134.0,Thriller,,,Vinod Alva,Kalyan Kumar,Raghuvaran,Unknown,5.784999999999999
A Small Family,1976.0,134.0,Documentary,,,Fali Bilimoria,Unknown,Unknown,Unknown,6.321666666666665
A Song for No One,1997.0,134.0,"Comedy, Drama, Music",,,Arturo Alanis Garza,Kavya Trehan,Victoria Kuhne,Unknown,5.872999999999996
A Story of a Call Girl,2000.0,134.0,Thriller,,,Teerat Singh,Pinky Chinoy,Ali Khan,Anjali Kolhapuri,4.825142857142856
A Thursday,2021.0,134.0,"Drama, Thriller",,,Behzad Khambata,Dimple Kapadia,Yami Gautam,Neha Dhupia,4.237033333333333
A Twist of Date,2017.0,110.0,"Comedy, Horror, Mystery",,,Kashmera Shah,Kashmera Shah,Unknown,Unknown,6.344299999999997
A.R Rahman Encore Tour,2017.0,134.0,Musical,,,Deepak Gattani,A.R. Rahman,Unknown,Unknown,6.2132999999999985
Aa Bhi Ja O Piya,2021.0,140.0,"Family, Romance",,,Rajesh Harivansh Mishra,Abhijeet Lahiri,Akanksha Sinha,Mukul Nag,4.387000000000003
Aabroo,1956.0,134.0,Romance,,,Chaturbhuj Doshi,Kamini Kaushal,Kishore Kumar,Madan Puri,5.9250000000000025
Aadab Hyderabad,2007.0,104.0,Unknown,,,Sanjay Punjabi,Unknown,Unknown,Unknown,5.542000000000002
Aadamkhor Hasina,2002.0,134.0,Action,,,Salim Suma,Poonam Dasgupta,Raza Murad,Amit Pachori,4.491860347985348
Aadarniy Pitaji,2020.0,134.0,Family,,,Prashant Kumar,Unknown,Unknown,Unknown,6.661999999999998
Aadarsh,1983.0,134.0,Drama,,,Unknown,Unknown,Unknown,Unknown,5.690311904761902
Aadat,1989.0,134.0,Unknown,,,Dev Malhotra,Madhuri Mishra,Ashok Pandey,Reema Raj,5.291750000000002
Aadhaar,2004.0,134.0,Drama,,,Shorya Veer Saagar,Saurabh Agnihotri,Aryan Harnot,Pooja Raawat,5.7825
Aadhe Adhure,1996.0,134.0,Drama,,,Pooja Choudhary,Tushar Dalvi,Narendra Gupta,Rekha Purohit,5.478266666666667
"Aadhi Haqeeqat, Aadha Fasana",1990.0,88.0,Documentary,,,Dilip Ghosh,Unknown,Unknown,Unknown,8.072999999999999
Aadhi Raat,1957.0,134.0,Unknown,,,Chandrakant,Unknown,Unknown,Unknown,6.485000000000002
Aadhi Raat,1999.0,134.0,Horror,,,Hriday Shankar,Manoj Bakshi,Satyendra Kapoor,Satnam Kaur,3.6065452380952383
Aadhi Roti,1957.0,134.0,Drama,,,Chandrakant,Prem Adib,Master Bhagwan,Daisy Irani,6.603218253968256
Aadhi Zindagi Aadhi Maut,1986.0,134.0,Thriller,,,V. Menon,Aparajita,Abhi Bhattacharya,Sargam,5.881704395604395
Aadi Shakti,1992.0,134.0,Action,,,Govind Singh,Raza Murad,Yunus Parvez,Unknown,6.781999999999999
Aadmi Aur Aurat,2001.0,134.0,Thriller,,,Alka Kubal,Raza Murad,Ramanna,Unknown,4.3210000000000015
Aafat-e-Ishq,2021.0,134.0,"Comedy, Thriller",,,Indrajit Nattoji,Amit Sial,Neha Sharma,Garima Jain,6.104016666666667
Aafreen,2021.0,134.0,Romance,,,Manjeet Rai,Chitransh Raaj,Prishita Tiwari,Sapna Shetty,3.9884999999999997
Aag aur Angaray,1990.0,134.0,Action,,,Vikaram Naroo,Rakesh Bedi,Birbal,Gulshan Grover,4.256733333333333
Aag Aur Shabab,1990.0,101.0,Thriller,,,Ravi Kumar,Madhuri,Captain Raju,Unknown,5.8004999999999995
Aag Aur Shola,2001.0,134.0,Action,,,Ravi Raja Pinisetty,Kiran Rathod,Flora Saini,Raj Shekhar,4.861172619047619
Aag Aur Tezaab,1998.0,134.0,Action,,,Israr Ahmed,Jagdish Sidana,Satish Kaul,Kader Khan,4.250014285714282
Aag Aur Toofan,1975.0,134.0,"Action, Drama, Thriller",,,Tanvir Ahmed,Mumtaz,Robin Kumar,Anwar Hussain,6.586922222222225
Aag Ka Dariya,1953.0,134.0,"Drama, Family",,,Roop K. Shorey,Meena Shorey,Karan Dewan,Prithviraj Kapoor,6.394916666666667
Aag Ka Gola,2002.0,134.0,Action,,,Kishan Shah,Junior Amitabh Bachchan,Junior Mithun Chakraborthy,Junior Sanjay Dutt,4.805773443223445
Aag Ka Prem Yudh,2002.0,134.0,Action,,,Thriller Manju,Rachana Maurya,Sanghavi,Upendra,4.536747252747254
Aag Ke Sholay,2001.0,139.0,Action,,,Kanti Shah,Anil Nagrath,Amit Pachori,Sapna Sappu,4.728652777777779
Aag Lagi Barsat Mein,1990.0,134.0,Thriller,,,Charanya,Y.G. Mahendran,Silk Smitha,Unknown,5.602309523809526
Aage Badho,1972.0,134.0,Romance,,,I.S. Johar,Dilip Dutt,Ambika Johar,Rajeev Kumar,5.8227833333333345
Aage Kadam,1943.0,134.0,Unknown,,,N.R. Acharya,Anjali Devi,Mubarak,Motilal,5.962633333333336
Aage Mod Hai,1987.0,134.0,Unknown,,,Ajit,Raja Bundela,Uday Chandra,Geeta Khanna,5.353666666666665
Aaghaat,2000.0,134.0,Action,,,Vijay Borade,Zaffar Abbas,Mohnish Bahl,Meena Bisht,4.703833333333335
Aaghosh,1953.0,134.0,"Drama, Romance",,,R.D. Mathur,Agha,Nasir Khan,Leela Mishra,6.138666666666665
Aah-E-Mazluman,1935.0,134.0,Unknown,,,N.G. Bulchandani,Abdul Rehman Kabuli,Unknown,Unknown,4.79343333333333
Aahuti,1950.0,134.0,Unknown,,,Kulbhushan,Cuckoo,Indubala,Vikram Kapoor,6.796633333333336
Aahuti,1992.0,134.0,Drama,,,Rajendra Bhatia,Arun Bali,Unknown,Unknown,6.097458333333329
Aahvaan,2020.0,114.0,"Comedy, Horror",,,Amrit Raj Thakur,Dev Vart Singh,Arya Chaturvedi,Muskaan Sinha,6.153333333333336
Aahwan,1996.0,134.0,Action,,,Unknown,Unknown,Unknown,Unknown,6.383333333333335
Aai Bahar,1946.0,134.0,Unknown,,,Unknown,Unknown,Unknown,Unknown,6.829000000000004
Aai Phirse Bahar,1960.0,134.0,Unknown,,,A. Bhimsingh,Padmini,Shivaji Ganesan,Rajasulochana,6.275500000000001
Aaina,2019.0,60.0,Horror,,,Raja Bhargav,Komal Bharti,Urmila Chandolia,Ankit Jha,4.820666666666665
Aaiyash: The Desire,2004.0,123.0,"Drama, Romance",,,Sandeep Kumar,Akansha,Rakhi Bajaj,Amit Dhamija,5.164833333333333
Aaj Jaana Hai Ke Pyaar Kya Ha,2004.0,134.0,Romance,,,Vikram Naaru,Arun Bakshi,Bharat Kapoor,Shakti Kapoor,4.328942857142858
Aaj Ka Farhad,1948.0,134.0,Unknown,,,Balwant Joshi,Zohra,Unknown,Unknown,5.414000000000004
Aaj Ka Gunda,1992.0,134.0,Action,,,Ravi Raja Pinisetty,Chiranjeevi,Radha,Vijayshanti,5.737252976190474
Aaj Ka Hindustan,1940.0,134.0,Unknown,,,Jayant Desai,Rose,Prithviraj Kapoor,Ishwarlal,6.937700000000001
Aaj Ka Inteqaam,1991.0,134.0,Thriller,,,Rajni Bala,Jainendra,Jamuna,Neela,5.213688888888887
Aaj Ka Krantiveer,2004.0,134.0,Action,,,Jayasudha,Nassar,Soundarya,Vijayakanth,4.684697619047622
Aaj Ka Maseeha,1995.0,134.0,Action,,,Sahil Surti,Rakesh Bedi,Brahmachari,Jamuna,4.8055083333333295
Aaj Ka Parshuram,1992.0,134.0,Action,,,Satya Murthy G.,Nagendra,Disco Shanti,Unknown,6.432
Aaj Ka Romeo,1995.0,134.0,Action,,,Pavithran,Prabhu Deva,Sarath Kumar,Kushboo,4.70106944444444
Aaj Ka Shahen Shah,1997.0,134.0,Action,,,Kodanda Rami Reddy A.,Bhanupriya,Chiranjeevi,Manik Irani,7.378161111111117
Aaj Kal,1934.0,134.0,Unknown,,,R.S. Choudhury,Jal Merchant,Shantakumari,Unknown,5.6865000000000006
Aaj Ki Baat,1955.0,134.0,Unknown,,,Leela Chitnis,Ajit,Ajit Chitnis,Leela Chitnis,6.672166666666659
Aaj Ki Biwi,1991.0,134.0,Drama,,,Ajay Kumar,Vijay Kumar,Jaishree Patel,Unknown,5.970249999999997
Aaj Ki Dhara,1979.0,134.0,Drama,,,Mukul Dutt,Danny Denzongpa,Padma Khanna,Pradeep Kumar,5.9341841269841185
Aaj Ki Duniya,1940.0,134.0,Drama,,,G.P. Pawar,Jeevan,Trilok Kapoor,Nazir,6.552333333333334
Aaj Ki Jung,1988.0,134.0,Action,,,Kodanda Rami Reddy A.,Unknown,Unknown,Unknown,5.297999999999998
Aaj Ki Pukar,1976.0,134.0,Drama,,,Unknown,Unknown,Unknown,Unknown,5.964333333333328
Aaj Ki Raat,1948.0,134.0,Unknown,,,D.D. Kashyap,Motilal,Suraiya,Lala Yaqoob,7.035299999999991
Aaj Ki Raat,1992.0,134.0,Thriller,,,Madhuri,Pratap,Raghu,Ravi,5.438000000000001
Aaj Ki Taaqat,1992.0,134.0,Unknown,,,Anil Nagrath,Jaya Mathur,Anil Nagrath,Sunil Puri,5.632000000000002
Aaj Watan Ne Humen Pukara,1968.0,134.0,Drama,,,Unknown,Unknown,Unknown,Unknown,6.030666666666659
Aaja Mere Mehboob,1994.0,134.0,Romance,,,Rakesh Kakaria,Unknown,Unknown,Unknown,5.976
Aaja Mere Raja,2000.0,134.0,Drama,,,Pradeep Chandra,Beena Banerjee,Amita Nangia,Moon Moon Sen,5.610442857142857
Aaja Meri Bahon Mein,2002.0,134.0,Romance,,,Unknown,Unknown,Unknown,Unknown,6.2288000000000014
Aaja Re O Sajana,1994.0,134.0,"Drama, Romance",,,Tammu Hasan,Neelima Azim,Bob Christo,Puneet Issar,4.948554761904762
Aakanksha,1993.0,120.0,Drama,,,Dinkar Chowdhary,Om Puri,Pankaj Kapur,Sadashiv Amrapurkar,6.821458333333334
Aakhet,1997.0,134.0,Drama,,,Ravi Buley,Tanima Bhattacharya,Narottam Bain,Rajnikant Singh,5.157533333333331
Aakhir,1984.0,134.0,Comedy,,,K.K. Talwar,Jalal Agha,Kalpana Iyer,Jagdeep,6.323999999999996
Aakhri Badla,2004.0,134.0,Action,,,Meena Amani,Harikrishna,Rajeev Kanakala,Mumait Khan,4.513645238095242
Aakhri Chetawani,1993.0,134.0,Unknown,,,Deva Dutta,Bharat Bhushan,Sudha Chandran,Amita Nangia,6.266400000000007
Aakhri Dastak,2004.0,134.0,Drama,,,Kishore Dang,Aasif Sheikh,Preeti Bhutani,Raza Murad,5.830583333333339
Aakhri Galti,1936.0,134.0,Unknown,,,Kamlabai Gokhale,Unknown,Unknown,Unknown,4.4099666666666675
Aakhri Geet,1975.0,134.0,Unknown,,,G.V. Iyer,G.V. Narayana Rao,Rekha,Krishna Swamy,5.943999999999997
Aakhri Khwahish-Ek Gunah Ki,2003.0,134.0,Thriller,,,Amrit Batra,Arun Bakshi,Ramesh Bhatkar,Dinesh Hingoo,4.282933333333333
Aakhri Mohabbat,1994.0,134.0,Romance,,,Abhilasha,Girish,Ravi Menon,Raghu,4.761333333333335
Aakhri Mujra,1981.0,121.0,"Drama, Musical",,,Hiren Nag,Asha Parekh,Vikram Makandar,Zarina Wahab,6.551750000000001
Aakhri Muqabla,1978.0,134.0,Action,,,Unknown,Unknown,Unknown,Unknown,5.086999999999997
Aakhri Nishan,1974.0,134.0,Unknown,,,S.A. Ashokan,Ram Chandran,Jyothi Lakshmi,Unknown,5.922999999999999
Aakhri Nishchay,1988.0,134.0,Drama,,,K.C. Agarwal,Ratan Aulakh,Anil Chadha,Sudhir Dalvi,5.752833333333333
Aakhri Paigham,1949.0,134.0,Unknown,,,Muzammil Khurshid,Muzammil Khurshid,Leela Mishra,Niranjan Sharma,6.89556666666667
Aakhri Raat,1999.0,134.0,Thriller,,,Papu Bahruz,Sudhir Dalvi,Raj Devgan,Mushtaq Khan,5.3367999999999975
Aakhri Sajda,1977.0,110.0,Drama,,,Helen,Jagdeep,Murad,Maya Sinha,6.903999999999996
Aakhri Sauda: The Last Deal,2016.0,134.0,Thriller,,,Sandeep Kumar,Tanvi Arora,Sonia Bajwa,Aaryan Chopra,5.439375000000002
Aakrandan,2001.0,134.0,Drama,,,Unknown,Unknown,Unknown,Unknown,5.644666666666662
Aakrant,1988.0,134.0,Drama,,,Vinod Kumar,Sadashiv Amrapurkar,C.S. Dubey,Kislaya,5.971055952380953
Aalha Udal,1962.0,134.0,"Drama, History",,,Jaswant Jhaveri,Master Bhagwan,Paidi Jairaj,Jeevan,5.524116666666663
Aamna Saamna,2013.0,62.0,Animation,,,Rajiv Chilaka,Jigna Bhardwaj,Rajesh Kava,Sabina Malik,7.119000000000002
Aamrityu,2018.0,134.0,Drama,,,Arup Manna,Unknown,Unknown,Unknown,4.324383333333336
Aandha Intaquam,1993.0,134.0,Action,,,Swaroop Kumar,Shanti Priya,Ronit Roy,Tapasya,4.867850000000001
Aandhi,1948.0,134.0,Drama,,,T.R. Sundaram,Unknown,Unknown,Unknown,6.141133333333336
Aangan,1973.0,134.0,"Drama, Family",,,Nasir Hussain,Farida Jalal,Ashim Kumar,Leela Mishra,6.503733333333332
Aankh Ka Nasha,1933.0,134.0,Unknown,,,J.J. Madan,Khurshid Begum,Mukhtar Begum,Jehanara Kajjan,4.951016666666668
Aankh Ki Sharm,1943.0,134.0,Unknown,,,Balwant Bhatt,Prithviraj Kapoor,Trilok Kapoor,Kaushalya,5.905882539682542
Aankh Micholi,2021.0,134.0,"Comedy, Family",,,Umesh Shukla,Paresh Rawal,Sharman Joshi,Abhimanyu Dasani,6.043766666666667
Aankh Michouli,1942.0,134.0,Unknown,,,R.S. Choudhury,Nalini Jaywant,Unknown,Unknown,4.044066666666663
Aankhen 2,2021.0,134.0,Thriller,,,Abhinay Deo,Amitabh Bachchan,Sidharth Malhotra,Unknown,6.742399999999996
Aankhin Dekhi,1978.0,134.0,Drama,,,Rajinder Singh Bedi,Suresh Bhagwat,Bhanumati,Bipin Gupta,6.455296428571429
Aankhon Mein Sapne Liye,2005.0,134.0,Romance,,,Nilu Gavankar,Usha Bachani,Janina Gavankar,Cleo Isaacs,4.309630952380952
Aansoo,1953.0,134.0,Drama,,,Shanti Kumar,Kamini Kaushal,Kumkum,Madan Mohan,7.089999999999999
Aansuon Ki Duniya,1936.0,134.0,Unknown,,,Anand Prasad Kapoor,Anwari,Sarla,Surendra,5.6975000000000025
Aantiya,1993.0,134.0,Drama,,,Hiren Goswani,Dixita,Anant Galvi,Raj Goswami,5.304741847041847
Aao Baby Pyar Karen,1983.0,134.0,Romance,,,Unknown,Unknown,Unknown,Unknown,5.567499999999995
Aao Hum Saath Chalein,2003.0,134.0,Romance,,,Unknown,Unknown,Unknown,Unknown,6.107800000000001
Aao Jao Ghar Tumhara,1984.0,134.0,Drama,,,Murlidhar Kapdi,Agha,Birbal,Chandrashekhar,6.3835768481518445
Aao Khelein Gilli Danda,2021.0,134.0,Drama,,,Faheem Chaudhry,Sonal Jha,Omkar Das Manikpuri,Rajesh Jais,5.864107142857148
Aao Milkar Gaen,1964.0,134.0,Documentary,,,Pramod Pati,Unknown,Unknown,Unknown,6.566
Aao Pyaar Karen,1983.0,134.0,Drama,,,Prakash Verma,Anita Advani,Radhika Bartake,Benjamin Gilani,6.0339226190476145
Aap Beeti,1948.0,134.0,Drama,,,Kumar,Agha,Ajit,Khurshid Begum,7.327633333333332
Aap Jaisa Koi,2003.0,134.0,Musical,,,Ruslaan Mumtaz,Unknown,Unknown,Unknown,6.302999999999995
Aap Ka Pyar,1988.0,134.0,Romance,,,Baby Bulbul,Devesh,Jiteshwari,Ritu Khanna,5.4231
Aap Ki Marzi,1939.0,134.0,Unknown,,,Sarvottam Badami,Khurshid Begum,Sabita Devi,Sunalini Devi,5.878499999999999
Aap Ki Sewa Mein,1946.0,134.0,Unknown,,,Vasant Joglekar,Nimbalkar,Unknown,Unknown,6.431666666666672
Aap Se Pyar Hain,1994.0,134.0,Romance,,,Ayush,Unknown,Unknown,Unknown,5.879000000000001
Aap Se Pyar Hua,1978.0,134.0,Romance,,,P. Sharma,Rita Anchan,Satish Kaul,Sona,5.643716666666665
Aar Paar: The Judgement,2004.0,134.0,Action,,,Genelia D'Souza,Nitin Kumar,Pradeep Singh Rawat,Unknown,5.820971428571428
Aarambh,1976.0,134.0,Drama,,,Gyan Kumar,Saira Banu,Kishore Namit Kapoor,Ravi Kumar,6.416908333333336
Aarilirunthu Arubadhuvarai,1979.0,134.0,Drama,,,S.P. Muthuraman,Unknown,Unknown,Unknown,5.564999999999994
Aarohi,1982.0,134.0,Romance,,,Kishore Kapoor,Vipin Kapoor,Rakesh Pandey,Rama Vij,6.199999999999999
Aarti,1945.0,134.0,Unknown,,,Ramchandra Thakur,Kanhaiyalal Chaturvedi,Surendra,Vanamala,5.551630952380952
Aarya,1992.0,134.0,Romance,,,Mani Nair,Unknown,Unknown,Unknown,6.13514285714286
Aaryamaan,1997.0,125.0,"Action, Drama, Fantasy",,,Mitesh Kumar Patel,Unknown,Unknown,Unknown,6.761000000000003
Aaryan Mera Naam,1988.0,134.0,Action,,,Ramya Krishnan,Mohanlal,Balan K. Nair,Gavin Packard,4.795499999999999
Aas,1978.0,134.0,Romance,,,Unknown,Unknown,Unknown,Unknown,5.788433333333327
Aas Aur Pyaas,1983.0,134.0,Drama,,,K.C. Agarwal,Girish Karnad,Nutan,Rameshwari,5.855994805194805
Aashanka,1983.0,134.0,Drama,,,Hari Atma,Omi Kapoor,Suhaas Khandke,Meena Paliwal,6.066011904761901
Aashiana,1974.0,134.0,"Crime, Drama, Romance",,,Syed Hussain,Harindranath Chattopadhyay,Ramesh Deo,Gajanan Jagirdar,6.429560202297699
Aasmaan,1952.0,134.0,"Drama, Family",,,Dalsukh M. Pancholi,Nasir Khan,Shyama,Veena,6.525133333333328
Aasra,2016.0,134.0,Biography,,,Raj Sagar,Raj Sagar,Atul Kulkarni,Ashok Samarth,4.117316666666666
Aasra,2019.0,95.0,"Drama, Family, Romance",,,Dinesh Chaudhary,Uttar Kumar,Dev Sharma,Devika Thakur,4.394345238095236
Aatank Raj,1999.0,118.0,Action,,,R. Mittal,Mohan Joshi,Bharat Kapoor,Arshad Khan,4.240000000000001
Aati... Kya!!!,1997.0,130.0,Comedy,,,Jasbir Bijender Bhati,Vikas Kailash,Unknown,Unknown,5.698500000000001
Aatma Aur Parmatma,1978.0,134.0,Thriller,,,Unknown,Unknown,Unknown,Unknown,5.953999999999996
Aatma Aur Parmatma,2004.0,109.0,Horror,,,Keerthi Chawla,Anant Nag,Bullet Prakash,Unknown,5.532666666666666
Aavartan,2021.0,116.0,Musical,,,Durba Sahay,Sushma Seth,Shovana Narayan,Sunit Razdan,4.118
Aaya Hai Dulha Dulhan Le Jayega (AHDDLJ),2018.0,134.0,"Family, Music, Musical",,,Dharmesh Tiwari,Rucha Gujrati,Amit Agarwal,Unknown,6.855633333333333
Aaya Jawani Jhoom Ke,1994.0,134.0,Thriller,,,Silk Smitha,Unknown,Unknown,Unknown,6.007999999999998
Aaya Yauwan Jhoom Ke,1999.0,134.0,Drama,,,Papu Bahruz,Rajendra Gupta,Johnny Lever,Kirti Rawal,6.43399761904762
Aayaam,2021.0,134.0,Drama,,,Mihir Kumar Sharma,Deepak Singh,Deeksha Panth,Chirag Dave,5.520940476190479
Aayi Tere Yaad,1980.0,134.0,Drama,,,Krishna Naidu,Rajni Bala,Birbal,Meera,5.345083333333326
Ab Badla Main Loongi,1990.0,134.0,Action,,,Hemagini,Manik Irani,Salma Nazeem,Shafiqua,4.460066666666668
Ab Bolo Har Har Mahadev,2010.0,134.0,Drama,,,Anil Mehta,Rima N. Kapoor,Nirmal Pandey,Pushpraj Singh,6.283228571428571
Ab Kya Hoga,2002.0,134.0,Thriller,,,Unknown,Unknown,Unknown,Unknown,6.161999999999999
Ab Meri Baari,1983.0,134.0,Action,,,Unknown,Unknown,Unknown,Unknown,5.351066666666664
Ab to Jeene Do,1995.0,134.0,Action,,,Yash Chouhan,Ishrat Ali,Sadashiv Amrapurkar,Mitwa,4.912052777777775
Ab Tumhari Bari,2005.0,134.0,Horror,,,Mohan Bhakri,Rana Jung Bahadur,Sunil Dhawan,Tina Ghai,3.884169047619047
